id,dataset,task,embedder,model,hyperparams,library_hash,cv_metric_name,cv_metric,test_metric_name,test_metric,key
1,AMES,classification,CDDD,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",-4078789695080322729,roc_auc,0.8277668592299658,roc_auc,0.8322759403943685,AMES_CDDD_rf
2,AMES,classification,CDDD,ridge,"{""clf__C"": 0.0035938136638046254, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-4078789695080322729,roc_auc,0.8127637857437955,roc_auc,0.8194051185650787,AMES_CDDD_ridge
3,AMES,classification,CDDD,knn,"{""clf__n_neighbors"": 9}",-4078789695080322729,roc_auc,0.8014156917659541,roc_auc,0.8355244864790773,AMES_CDDD_knn
4,Bioavailability_Ma,classification,AtomPair,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",-1464569385253146410,roc_auc,0.703187488534214,roc_auc,0.6957100099767209,Bioavailability_Ma_AtomPair_rf
5,Bioavailability_Ma,classification,TT,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",-439122730216982411,roc_auc,0.7504035956705193,roc_auc,0.6915530428999002,Bioavailability_Ma_TT_rf
6,Bioavailability_Ma,classification,ECFP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",-9208561409265523873,roc_auc,0.7588699321225464,roc_auc,0.6534752244762221,Bioavailability_Ma_ECFP_rf
7,Bioavailability_Ma,classification,AtomPair_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 8, ""clf__n_estimators"": 500}",-8579419792756907490,roc_auc,0.7141625389836728,roc_auc,0.7120053209178583,Bioavailability_Ma_AtomPair_count_rf
8,Bioavailability_Ma,classification,TT_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",-7495404744254066017,roc_auc,0.7484268941478628,roc_auc,0.6925507149983371,Bioavailability_Ma_TT_count_rf
9,Bioavailability_Ma,classification,ECFP_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",-6538603587235468916,roc_auc,0.7606219042377547,roc_auc,0.6910542068506818,Bioavailability_Ma_ECFP_count_rf
10,Bioavailability_Ma,classification,ECFP,ridge,"{""clf__C"": 27.825594022071243, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-9208561409265523873,roc_auc,0.7861997798569071,roc_auc,0.6341868972397738,Bioavailability_Ma_ECFP_ridge
11,Bioavailability_Ma,classification,TT,ridge,"{""clf__C"": 2.1544346900318834, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-439122730216982411,roc_auc,0.742212438084755,roc_auc,0.6804123711340206,Bioavailability_Ma_TT_ridge
12,Bioavailability_Ma,classification,AtomPair,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-1464569385253146410,roc_auc,0.6908640616400661,roc_auc,0.6601263717991354,Bioavailability_Ma_AtomPair_ridge
13,Bioavailability_Ma,classification,AtomPair_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-8579419792756907490,roc_auc,0.7044991744634013,roc_auc,0.6794146990355837,Bioavailability_Ma_AtomPair_count_ridge
14,Bioavailability_Ma,classification,ECFP_count,ridge,"{""clf__C"": 27.825594022071243, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-6538603587235468916,roc_auc,0.7937167492203265,roc_auc,0.6355171267043564,Bioavailability_Ma_ECFP_count_ridge
15,Bioavailability_Ma,classification,TT_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-7495404744254066017,roc_auc,0.7363144377178499,roc_auc,0.6062520784835385,Bioavailability_Ma_TT_count_ridge
16,AMES,classification,AtomPair,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",1955135252213266339,roc_auc,0.8153826165887461,roc_auc,0.8088116078247077,AMES_AtomPair_rf
17,AMES,classification,AtomPair_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 10, ""clf__n_estimators"": 500}",-5300940014819510916,roc_auc,0.8224528920522799,roc_auc,0.8145254459652627,AMES_AtomPair_count_rf
18,Bioavailability_Ma,classification,ECFP,knn,"{""clf__n_neighbors"": 3}",-9208561409265523873,roc_auc,0.7416414419372593,roc_auc,0.6208846025939474,Bioavailability_Ma_ECFP_knn
19,AMES,classification,ECFP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",-2331555133799285245,roc_auc,0.8299736855288723,roc_auc,0.8465203939767765,AMES_ECFP_rf
20,Bioavailability_Ma,classification,TT,knn,"{""clf__n_neighbors"": 9}",-439122730216982411,roc_auc,0.697041827187672,roc_auc,0.6163950781509809,Bioavailability_Ma_TT_knn
21,CYP1A2_Veith,classification,AtomPair,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",8217799134485486552,roc_auc,0.9043336379761493,roc_auc,0.9241589740999382,CYP1A2_Veith_AtomPair_rf
22,AMES,classification,ECFP_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 8, ""clf__n_estimators"": 500}",5599067579610768681,roc_auc,0.8279043925264677,roc_auc,0.8481701227750689,AMES_ECFP_count_rf
23,Bioavailability_Ma,classification,AtomPair_count,knn,"{""clf__n_neighbors"": 5}",-8579419792756907490,roc_auc,0.6818290221977619,roc_auc,0.6744263385433986,Bioavailability_Ma_AtomPair_count_knn
24,Bioavailability_Ma,classification,AtomPair,knn,"{""clf__n_neighbors"": 9}",-1464569385253146410,roc_auc,0.6817556411667585,roc_auc,0.625207848353841,Bioavailability_Ma_AtomPair_knn
25,CYP1A2_Veith,classification,AtomPair_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",-3053500640075683953,roc_auc,0.9083731815739811,roc_auc,0.9288641730543383,CYP1A2_Veith_AtomPair_count_rf
26,AMES,classification,TT,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 10, ""clf__n_estimators"": 500}",-8238054040354505591,roc_auc,0.7913977959338142,roc_auc,0.8370175644715973,AMES_TT_rf
27,Bioavailability_Ma,classification,ECFP_count,knn,"{""clf__n_neighbors"": 7}",-6538603587235468916,roc_auc,0.7403251696936342,roc_auc,0.622381110741603,Bioavailability_Ma_ECFP_count_knn
28,Bioavailability_Ma,classification,TT_count,knn,"{""clf__n_neighbors"": 9}",-7495404744254066017,roc_auc,0.7401784076316273,roc_auc,0.5746591286997007,Bioavailability_Ma_TT_count_knn
29,CYP1A2_Veith,classification,ECFP_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",1962560909907431944,roc_auc,0.9115842349250768,roc_auc,0.9278665597494602,CYP1A2_Veith_ECFP_count_rf
30,AMES,classification,TT_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 10, ""clf__n_estimators"": 500}",8763181307387106105,roc_auc,0.801405945990114,roc_auc,0.8496592844974447,AMES_TT_count_rf
31,CYP1A2_Veith,classification,ECFP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",853126808745321508,roc_auc,0.8991928513129022,roc_auc,0.9191308136231042,CYP1A2_Veith_ECFP_rf
32,AMES,classification,ECFP,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-2331555133799285245,roc_auc,0.7740320715072401,roc_auc,0.7954649591728837,AMES_ECFP_ridge
33,AMES,classification,ECFP_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",5599067579610768681,roc_auc,0.7687672215081495,roc_auc,0.79185807436997,AMES_ECFP_count_ridge
34,AMES,classification,TT,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-8238054040354505591,roc_auc,0.7614364808233789,roc_auc,0.8256858368090231,AMES_TT_ridge
35,AMES,classification,AtomPair,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",1955135252213266339,roc_auc,0.7996991567439843,roc_auc,0.7897432884920401,AMES_AtomPair_ridge
36,CYP2C19_Veith,classification,AtomPair,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",-8579419792756907490,roc_auc,0.8633603248912367,roc_auc,0.8462139421203421,CYP2C19_Veith_AtomPair_rf
37,AMES,classification,TT_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",8763181307387106105,roc_auc,0.761071356512193,roc_auc,0.7892410268460319,AMES_TT_count_ridge
38,AMES,classification,AtomPair_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-5300940014819510916,roc_auc,0.7933154751889724,roc_auc,0.753509957116842,AMES_AtomPair_count_ridge
39,CYP1A2_Veith,classification,ECFP,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",853126808745321508,roc_auc,0.8853532056136393,roc_auc,0.9115517938097463,CYP1A2_Veith_ECFP_ridge
40,CYP2C19_Veith,classification,AtomPair_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",-1464569385253146410,roc_auc,0.8714230426534135,roc_auc,0.8581617924425365,CYP2C19_Veith_AtomPair_count_rf
41,CYP1A2_Veith,classification,ECFP_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",1962560909907431944,roc_auc,0.8862292555115824,roc_auc,0.9141967318693253,CYP1A2_Veith_ECFP_count_ridge
42,CYP1A2_Veith,classification,AtomPair,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",8217799134485486552,roc_auc,0.9014460982506318,roc_auc,0.9139324906236979,CYP1A2_Veith_AtomPair_ridge
43,CYP1A2_Veith,classification,TT_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",-439122730216982411,roc_auc,0.8953403678818193,roc_auc,0.9189761204207656,CYP1A2_Veith_TT_count_rf
44,CYP1A2_Veith,classification,TT,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",-9208561409265523873,roc_auc,0.8921832970238575,roc_auc,0.9151504628168053,CYP1A2_Veith_TT_rf
45,CYP1A2_Veith,classification,AtomPair_count,ridge,"{""clf__C"": 0.0035938136638046254, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-3053500640075683953,roc_auc,0.8927956685061762,roc_auc,0.9029391708444354,CYP1A2_Veith_AtomPair_count_ridge
46,CYP2C19_Veith,classification,ECFP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",-6538603587235468916,roc_auc,0.8702504716312165,roc_auc,0.8682615838812354,CYP2C19_Veith_ECFP_rf
47,CYP2C19_Veith,classification,ECFP_count,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",-7495404744254066017,roc_auc,0.8783041104175657,roc_auc,0.8744442262188677,CYP2C19_Veith_ECFP_count_rf
48,CYP2C19_Veith,classification,ECFP,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-6538603587235468916,roc_auc,0.8564169330058675,roc_auc,0.8655767857866564,CYP2C19_Veith_ECFP_ridge
49,CYP1A2_Veith,classification,TT,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-9208561409265523873,roc_auc,0.8726025051954849,roc_auc,0.890344934271174,CYP1A2_Veith_TT_ridge
50,CYP2C19_Veith,classification,AtomPair,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-8579419792756907490,roc_auc,0.8544599869468137,roc_auc,0.8360022321358984,CYP2C19_Veith_AtomPair_ridge
51,CYP2C19_Veith,classification,ECFP_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-7495404744254066017,roc_auc,0.8583128159224194,roc_auc,0.8670102160744959,CYP2C19_Veith_ECFP_count_ridge
52,CYP1A2_Veith,classification,TT_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-439122730216982411,roc_auc,0.8684234473110706,roc_auc,0.8890650847971309,CYP1A2_Veith_TT_count_ridge
53,CYP2C19_Veith,classification,AtomPair_count,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-1464569385253146410,roc_auc,0.8511904453777532,roc_auc,0.8443234851248095,CYP2C19_Veith_AtomPair_count_ridge
54,Bioavailability_Ma,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 8, ""clf__n_estimators"": 500}",521174926318560733,roc_auc,0.7183819482663731,roc_auc,0.641835716661124,Bioavailability_Ma_CLAMP_rf
55,Bioavailability_Ma,classification,CLAMP,ridge,"{""clf__C"": 0.5994842503189408, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",521174926318560733,roc_auc,0.6797560080719134,roc_auc,0.5849684070502161,Bioavailability_Ma_CLAMP_ridge
56,Bioavailability_Ma,classification,CLAMP,knn,"{""clf__n_neighbors"": 7}",521174926318560733,roc_auc,0.7237410566868464,roc_auc,0.5971067509145327,Bioavailability_Ma_CLAMP_knn
57,CYP2C9_Substrate_CarbonMangels,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",521174926318560733,roc_auc,0.588722457708023,roc_auc,0.6698317959848074,CYP2C9_Substrate_CarbonMangels_CLAMP_rf
58,CYP2C9_Substrate_CarbonMangels,classification,CLAMP,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",521174926318560733,roc_auc,0.5795392752128918,roc_auc,0.6977753662506783,CYP2C9_Substrate_CarbonMangels_CLAMP_ridge
59,CYP2C9_Substrate_CarbonMangels,classification,CLAMP,knn,"{""clf__n_neighbors"": 5}",521174926318560733,roc_auc,0.6362023141253295,roc_auc,0.6287303309820944,CYP2C9_Substrate_CarbonMangels_CLAMP_knn
60,AMES,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",-6225924947160290061,roc_auc,0.8222908061494143,roc_auc,0.8459975719125106,AMES_CLAMP_rf
61,AMES,classification,CLAMP,ridge,"{""clf__C"": 0.0035938136638046254, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-6225924947160290061,roc_auc,0.8162500521736096,roc_auc,0.8266090974955453,AMES_CLAMP_ridge
62,AMES,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",-6225924947160290061,roc_auc,0.7905038349694038,roc_auc,0.8082838904227614,AMES_CLAMP_knn
